transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
1252285,20439,20440,2.4574e+06,11200,1,0,4731.42,-5355.72,-517.769,-0.481002,-1.13616,7.35703,7167.24,0.000304366,1.72012,6.21562,5.42507,6.27761,3166.3,-2285.13,-6004.98,3.68881,-5.16788,3.90607,7153.09,0.00150573,1.71993,2.55545,5.42488,2.716,7176.39,0.00196625,1.71979,5.5696,5.4251,0.640448,0.00734508,-0.00566948,0.00441278,-0.00349152,0.00429645,-0.0141456,0.0254649
1250637,20439,20440,2.4574e+06,11800,1,0,-4511.36,5494.43,-878.997,1.43899,0.0100554,-7.32135,7167.06,0.000516068,1.72012,3.30547,5.41845,6.24372,-4713.54,5204.43,1401.06,-0.132734,1.82972,-7.23502,7165.35,0.000769046,1.7198,2.65665,5.41837,0.285759,7180.27,0.00298316,1.71968,2.60246,5.4184,0.663533,-0.00989546,0.00849689,-0.00890047,0.00461446,-0.00554046,0.00649269,0.0254932
1251040,20439,20440,2.4574e+06,12700,2,0,3298.45,-2500.91,-5845.82,3.52574,-5.08401,4.16029,7155.05,0.00119131,1.72025,2.55398,5.42016,2.75844,4649.18,-4864.99,-2461.13,0.896564,-2.64464,6.91533,7163.87,0.000334557,1.71981,3.76983,5.42017,2.15863,7179.81,0.00235664,1.72039,5.39858,5.41996,6.19699,0.00247382,-0.00827375,0.0108608,-0.00196084,0.0104926,-0.00465415,0.0255203
1250939,20439,20440,2.4574e+06,12400,2,0,-4564.6,5485.04,-626.35,1.26916,0.216972,-7.3496,7167.2,0.000537947,1.72012,3.21862,5.41966,0.0115096,-3990.41,5294.17,-2705.46,2.63103,-1.50248,-6.81991,7163.42,0.000425261,1.71982,3.63454,5.41958,6.18228,7179.79,0.00287047,1.71996,3.87887,5.41964,5.63444,0.0084516,-0.0105278,-0.00547073,-0.00770052,0.00609696,0.00497808,0.0255783
1250036,20439,20440,2.4574e+06,11500,1,0,-4387.55,5491.6,-1380.56,1.77134,-0.404719,-7.23658,7166.66,0.000461141,1.72013,3.49612,5.41605,6.12481,-4531.66,4636.24,3038.13,-1.30989,3.09083,-6.66542,7162.73,0.0005162,1.71983,2.10448,5.41596,0.593626,7181.38,0.00302629,1.71979,2.74028,5.41598,0.597451,-0.008231,0.00807872,-0.0103299,-4.39743e-05,-0.00180433,0.0100043,0.0256487
1250337,20439,20440,2.4574e+06,11800,1,0,-4452.32,5496.63,-1130.51,1.60645,-0.197267,-7.28366,7166.88,0.000490341,1.72013,3.39729,5.41725,6.18776,-4708.83,5267.1,1162.86,0.0374368,1.64297,-7.28085,7165.57,0.00078442,1.7198,2.71635,5.41717,0.260268,7180.89,0.00303986,1.71973,2.66007,5.41719,0.641796,-0.00935629,0.00854414,-0.00972677,0.00400367,-0.00548715,0.00692528,0.0256739
1252185,20439,20440,2.4574e+06,11200,1,0,-1908.3,3571.56,-5907.29,4.52846,-4.3085,-4.06562,7154.79,0.00103205,1.72025,0.750768,5.42457,3.37735,-4635.38,5447.26,-330.941,1.0653,0.459647,-7.37343,7166.02,0.00081497,1.71979,3.05236,5.42438,0.135988,7176.52,0.00242272,1.72014,3.54768,5.4244,0.580414,0.00259299,-0.00168407,-0.0160415,-0.0073686,0.00344172,0.00466016,0.0257101
1252390,20439,20440,2.4574e+06,12700,2,0,-2718.89,1667.27,6411.31,-4.06102,5.41493,-3.12837,7152.55,0.00117719,1.72028,5.3535,5.42553,2.93888,-4482.44,4390.19,3448.18,-1.64736,3.3834,-6.44465,7161.77,0.000449573,1.71984,1.92276,5.42557,0.710144,7177.13,0.00252017,1.72041,2.45407,5.42525,5.83827,-0.00146551,0.00850669,-0.0138377,-0.00118953,-0.00749564,0.00560241,0.0257426
1250740,20439,20440,2.4574e+06,12700,2,0,3414.48,-2678.44,-5698.82,3.39467,-4.99174,4.37585,7155.66,0.0011264,1.72024,2.61603,5.41897,2.73223,4669.92,-4954.52,-2232.78,0.727684,-2.47091,6.99909,7164.26,0.000279168,1.71981,3.87845,5.41897,2.08417,7180.46,0.00243548,1.72038,5.44605,5.41878,6.18537,0.0021317,-0.00781908,0.0113855,-0.00210076,0.0106074,-0.00499307,0.0258859
1250037,20439,20440,2.4574e+06,11800,1,0,-4387.55,5491.6,-1380.56,1.77134,-0.404719,-7.23658,7166.66,0.000461141,1.72013,3.49612,5.41605,6.12481,-4698.47,5323.59,923.296,0.207118,1.45388,-7.31814,7165.75,0.000795169,1.71979,2.77472,5.41597,0.236107,7181.52,0.00309827,1.71977,2.71721,5.41598,0.620516,-0.00877757,0.00854684,-0.0105613,0.00338,-0.00541193,0.00735632,0.0259132
1251735,20439,20440,2.4574e+06,11200,1,0,1668.23,-3349.45,6106.62,-4.61985,4.50908,3.73083,7153.93,0.00122363,1.72026,3.75321,5.42278,3.56971,4571.07,-5474.7,689.096,-1.30965,-0.167069,7.34101,7165.88,0.000258956,1.71979,1.36231,5.42258,5.01828,7177.72,0.0022676,1.72017,0.804082,5.42262,0.235627,-0.00480808,0.00476916,0.0130032,0.00900233,-0.00503104,-0.00474644,0.0260136
1252090,20439,20440,2.4574e+06,12700,2,0,-2854.77,1856.12,6299.47,-3.95072,5.35412,-3.36572,7153.06,0.0011236,1.72027,5.42261,5.42434,2.90564,-4528.48,4504.1,3234.71,-1.48278,3.22674,-6.56404,7162.29,0.000493952,1.71983,2.03752,5.42437,0.629592,7177.77,0.00259812,1.72041,2.48381,5.42407,5.8444,-0.00106511,0.00802993,-0.0144277,-0.00117679,-0.00745998,0.00573313,0.0260279
1252435,20439,20440,2.4574e+06,11200,1,0,-4740.78,5331.29,642.478,0.392496,1.23593,-7.34821,7167.19,0.000583247,1.72012,2.8143,5.42568,0.236469,-3101.14,2191.8,6068.13,-3.75146,5.20973,-3.79789,7152.79,0.000798491,1.71993,5.4053,5.42547,2.98967,7176.2,0.00251373,1.71979,2.28838,5.42571,0.762389,-0.00950009,0.0080369,-0.00389174,0.00581439,-0.00591193,0.0100531,0.0260696
1251286,20439,20440,2.4574e+06,11500,1,0,-1419.19,3111.93,-6292.34,4.69817,-4.69887,-3.38175,7153.1,0.00123692,1.72027,0.926247,5.42099,3.30942,-3810.22,5175.75,-3156.64,2.91777,-1.88125,-6.60544,7162.47,0.000302077,1.71983,3.80296,5.42079,6.08388,7178.51,0.00257462,1.72028,3.79028,5.42102,0.445383,0.00655316,-0.00391717,-0.0145779,-0.0077694,0.0019009,0.00543347,0.0261256
1250639,20439,20440,2.4574e+06,12400,2,0,-4511.36,5494.43,-878.997,1.43899,0.0100554,-7.32135,7167.06,0.000516068,1.72012,3.30547,5.41845,6.24372,-3895.47,5246.48,-2927.62,2.76965,-1.69357,-6.71925,7162.97,0.000363605,1.71982,3.72116,5.41838,6.12986,7180.43,0.00295482,1.71992,3.90439,5.41843,5.64479,0.00833118,-0.0109345,-0.00543208,-0.0076692,0.00658568,0.00523796,0.0261663
1252487,20439,20440,2.4574e+06,11800,1,0,-2067.44,3715.1,-5763.52,4.45951,-4.16736,-4.28359,7155.39,0.000959317,1.72025,0.687853,5.42577,3.40441,-3284.54,4764.36,-4216.77,3.58043,-2.7781,-5.92684,7159.65,0.00010542,1.71986,6.16442,5.42562,3.89827,7176.17,0.00227593,1.72045,3.5689,5.42606,0.523411,0.00547299,0.00105316,-0.0141315,-0.00638754,-0.00310974,0.00840194,0.0261938
1250340,20439,20440,2.4574e+06,12700,2,0,-4452.32,5496.63,-1130.51,1.60645,-0.197267,-7.28366,7166.88,0.000490341,1.72013,3.39729,5.41725,6.18776,-2754.98,4385.18,-4944.58,3.97942,-3.45441,-5.27989,7157.25,0.000421467,1.71988,0.567191,5.41723,3.34744,7181.24,0.00293267,1.71987,3.86276,5.41721,5.72229,0.00712381,-0.0101098,-0.00577274,-0.00581804,0.004803,0.0100723,0.026233
1251985,20439,20440,2.4574e+06,11200,1,0,4705.3,-5397.04,-264.116,-0.658579,-0.934561,7.3717,7167.32,0.000320496,1.72012,0.0754566,5.42387,6.17044,3282.52,-2457.28,-5873.31,3.56825,-5.08812,4.11737,7153.65,0.00145061,1.71992,2.60617,5.42368,2.69943,7177.02,0.00205232,1.71979,5.62438,5.42388,0.621524,0.00744058,-0.0059381,0.00500365,-0.00282322,0.00391756,-0.0147132,0.0262399
1250440,20439,20440,2.4574e+06,12700,2,0,3525.72,-2852.82,-5544.5,3.25946,-4.89273,4.58581,7156.28,0.00105977,1.72024,2.68035,5.41777,2.70375,4685,-5038.32,-2001.81,0.558358,-2.29388,7.07466,7164.61,0.000226616,1.71981,4.00708,5.41777,1.98969,7181.1,0.00251487,1.72037,5.49359,5.4176,6.17368,0.00177583,-0.00733397,0.0118807,-0.00223261,0.0107106,-0.00537054,0.0262624
1251790,20439,20440,2.4574e+06,12700,2,0,-2986.54,2042.91,6179.52,-3.8355,5.28617,-3.59877,7153.6,0.00106819,1.72027,5.49409,5.42315,2.87003,-4568.96,4612.85,3017.45,-1.31683,3.0659,-6.67576,7162.78,0.000537233,1.71983,2.13811,5.42317,0.563212,7178.4,0.00267582,1.7204,2.51454,5.4229,5.84955,-0.000644989,0.0075135,-0.0149828,-0.00115936,-0.00742186,0.00588366,0.0263154
1252141,20439,20440,2.4574e+06,13000,2,0,-4717.76,5376.12,389.059,0.570732,1.03512,-7.36752,7167.29,0.000582975,1.72012,2.89444,5.42447,0.192204,-2358.29,3987.43,-5459.48,4.29194,-3.89272,-4.69665,7155.32,0.000668882,1.7199,0.816153,5.42446,3.20592,7177.55,0.00252739,1.71992,3.74521,5.42448,5.62462,0.00744593,-0.009486,-0.00613992,-0.00503394,0.00282338,0.0114093,0.0263185
1250190,20439,20440,2.4574e+06,12700,2,0,4422,-5496.1,1253.54,-1.68813,0.299944,7.26021,7166.78,0.000374412,1.72013,0.850576,5.41665,5.61048,2692.72,-4335.39,5025.37,-4.02257,3.53017,5.19284,7156.97,0.00107676,1.71989,3.15271,5.41663,3.91926,7181.82,0.00271405,1.71986,0.674741,5.4166,5.7863,-0.00510606,0.00767356,0.00651237,0.00375545,-0.00149038,-0.014613,0.0264469
1250836,20439,20440,2.4574e+06,11500,1,0,1171.77,-2869.32,6456.08,-4.76166,4.87378,3.02664,7152.35,0.00135419,1.72028,3.95404,5.4192,3.47646,3657.73,-5087.88,3472.16,-3.10985,2.15677,6.42655,7161.72,0.000712151,1.71984,2.52417,5.41899,4.27123,7179.77,0.00255958,1.7203,1.04132,5.41926,0.10601,-0.00856113,0.00689951,0.0105441,0.00936803,-0.00356668,-0.00514698,0.0265022
