transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
9032484,10155,11909,2457399.55671296,23200.0,0,1,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376,25819.1438652155,0.724267251210481,1.08698743873796,4.64548222138779,3.09851752707703,3.94482370396046,-9761.78580448489,-20654.6393381718,38842.5094066012,1.45314470342702,-0.324449273707224,0.814086185703035,26911.9248499847,0.713579619132685,1.09584224823293,4.60082150241221,3.20691634170556,3.00452144075559,26514.8806614331,0.730028083179697,1.07643309651929,4.6233777134637,3.11179131495967,3.96069177207079,-0.0256894155283368,0.0638820653285226,-0.0229038668054349,0.0347859384614648,0.0894112588341477,0.125013809496277,0.230147970688549
9032485,10155,11909,2457399.55671296,23600.0,0,1,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376,25819.1438652155,0.724267251210481,1.08698743873796,4.64548222138779,3.09851752707703,3.94482370396046,-9177.33064071343,-20777.1908949724,39154.6692769757,1.46952529950532,-0.288619926102596,0.746600270015846,26911.9349413458,0.713581491765786,1.09584119111709,4.60082645055884,3.20690421193494,3.0187471381805,26523.3116037617,0.730487273119022,1.07746313136687,4.62446032035183,3.11048519029777,3.96022829167144,-0.0285064451888087,0.0604031659048612,-0.0255491479531429,0.0363175290055333,0.0900678010906666,0.125543255810714,0.230232432748686
9032483,10155,11909,2457399.55671296,22800.0,0,1,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376,25819.1438652155,0.724267251210481,1.08698743873796,4.64548222138779,3.09851752707703,3.94482370396046,-10339.4389674461,-20517.7026451754,38503.275495788,1.43550910097191,-0.36056627241534,0.881970535867781,26911.9138172328,0.713577608611126,1.09584337044688,4.60081670627925,3.2069284584082,2.99015956650276,26506.2763476027,0.729573876361305,1.07541538440844,4.6223159925868,3.11308412928587,3.96113951060205,-0.0229138226829327,0.0673144246869428,-0.0202642529946457,0.0332957642802061,0.0888495059968315,0.124523863539207,0.230492207051862
9032434,10155,11909,2457399.55555556,23200.0,0,1,16181.7673171503,-9406.44049854109,16558.6032575165,0.228426963485652,1.87796489099077,-3.58931877650131,25819.081547084,0.724268437936294,1.08698541363725,4.64548576039185,3.09852089955144,3.93348482199516,-9906.85643362087,-20621.758299115,38760.2453959932,1.44885530219406,-0.333450324286404,0.83101776545923,26911.9221774481,0.713579129407655,1.09584252260886,4.60082028866037,3.2069193721185,3.00094436723781,26511.7469803137,0.729924422265629,1.07622499122423,4.6228851973262,3.11237084345511,3.94957695445124,-0.0251916985412957,0.0649803334858128,-0.023041950279155,0.034364735121905,0.0887547815247238,0.125075227243543,0.230572180167102
9032435,10155,11909,2457399.55555556,23600.0,0,1,16181.7673171503,-9406.44049854109,16558.6032575165,0.228426963485652,1.87796489099077,-3.58931877650131,25819.081547084,0.724268437936294,1.08698541363725,4.64548576039185,3.09852089955144,3.93348482199516,-9324.05486096053,-20747.8954450131,39079.1590146655,1.46554530465764,-0.297552003911153,0.763437390172604,26911.9325103027,0.713581036564708,1.09584144939452,4.60082519991769,3.20690724558734,3.01520261061558,26520.1983804732,0.730387709401687,1.07724470073908,4.62396729067376,3.11104707346338,3.94912260036598,-0.0279998567926579,0.061551988358854,-0.0257033907972799,0.0359012745161247,0.089405354830568,0.125629676708866,0.230660982595199
9032486,10155,11909,2457399.55671296,24000.0,0,1,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376,25819.1438652155,0.724267251210481,1.08698743873796,4.64548222138779,3.09851752707703,3.94482370396046,-8586.56644149042,-20885.466234,39439.903505699,1.48469495638683,-0.253047346384544,0.679458500831326,26911.9440287466,0.713583225961584,1.09584019731243,4.60083153905287,3.20689206934218,3.03285234744395,26531.5721289436,0.730951836296572,1.07850716094255,4.62556528144482,3.10916371300676,3.95974852748465,-0.0313676951490514,0.0568718819767875,-0.028203356344533,0.0378924851726383,0.0908201042078071,0.126113738475649,0.230773015311683
9032433,10155,11909,2457399.55555556,22800.0,0,1,16181.7673171503,-9406.44049854109,16558.6032575165,0.228426963485652,1.87796489099077,-3.58931877650131,25819.081547084,0.724268437936294,1.08698541363725,4.64548576039185,3.09852089955144,3.93348482199516,-10482.7299243801,-20481.206838182,38414.2172209837,1.4308984077665,-0.369644199806054,0.899010392208805,26911.9109200028,0.713577084501335,1.09584366140246,4.60081553241691,3.20693148550185,2.9865459120906,26503.1253133011,0.729466359865103,1.07521764610459,4.62182430186787,3.11368092869777,3.9500154313354,-0.0224258726439344,0.0683622644881103,-0.0203867425912683,0.0328704031906009,0.0881992688304336,0.124560059421461,0.230903517919313
9032384,10155,11909,2457399.55439815,23200.0,0,1,16156.9019211588,-9593.03141112728,16915.4353231696,0.269000517906584,1.85412838958765,-3.54730462880219,25819.0247076926,0.724269666585476,1.08698344118016,4.64548911804675,3.09852431637455,3.92240951334885,-10051.4941518425,-20587.9764274394,38676.2868339191,1.44448674846376,-0.342469840966665,0.847975102699747,26911.9194470853,0.713578631073196,1.09584280108238,4.60081908459411,3.2069224017103,2.99735853426003,26508.5989310703,0.729818338554229,1.07602100936131,4.62239045330622,3.11295808819503,3.938724069322,-0.0246841760955953,0.066068694337702,-0.0231680479410188,0.0339369976414576,0.0880935370230889,0.125130591969334,0.230984795256299
9032385,10155,11909,2457399.55439815,23600.0,0,1,16156.9019211588,-9593.03141112728,16915.4353231696,0.269000517906584,1.85412838958765,-3.54730462880219,25819.0247076926,0.724269666585476,1.08698344118016,4.64548911804675,3.09852431637455,3.92240951334885,-9470.37724945009,-20717.7061615669,39001.9638131723,1.46148899536328,-0.306500600321147,0.780296851918801,26911.9300174158,0.713580572719803,1.09584171165452,4.60082395822509,3.20691027843571,3.01165031471358,26517.0704864158,0.730285618915442,1.07703033586273,4.62347162688854,3.11161725872828,3.9382789716145,-0.0274832353447193,0.0626899535836025,-0.0258456812229153,0.0354781191732161,0.0887375654399121,0.125709993592579,0.231078185184319
9032436,10155,11909,2457399.55555556,24000.0,0,1,16181.7673171503,-9406.44049854109,16558.6032575165,0.228426963485652,1.87796489099077,-3.58931877650131,25819.081547084,0.724268437936294,1.08698541363725,4.64548576039185,3.09852089955144,3.93348482199516,-8734.82264656008,-20859.7302986402,39371.1119224884,1.48101385874992,-0.261918066940639,0.696214593679032,26911.9418541842,0.713582805420945,1.09584043991785,4.60083025439097,3.20689510618316,3.029336508173,26528.4821211285,0.730856609712995,1.07827844114799,4.62507206752992,3.10970753602196,3.94865182858993,-0.0308530998481843,0.0580714042081281,-0.0283743174440003,0.0374819347781314,0.0901519351356344,0.126224984022289,0.231196766426609
