departure_id             ,39255                    ,-                        
arrival_id               ,694                      ,-                        
departure_epoch          ,2.4574e+06               ,JD                       
time_of_flight           ,24910                    ,s                        
is_prograde              ,true                     ,-                        
revolutions              ,4                        ,-                        
transfer_delta_v         ,0.446391                 ,km/s                     
