jd,x,y,z,xdot,ydot,zdot
2457399.55671296,16202.5007707971,-9217.44701642289,16197.5415796187,0.186337267958929,1.90216897806538,-3.63190789211376
2457399.55719083,16209.8268560043,-9138.70193513958,16047.2213760166,0.168494339435927,1.91227389147232,-3.64965836014386
2457399.5576687,16216.4105215343,-9059.53830540593,15896.166218255,0.150373255366793,1.92244368255135,-3.66750938661589
2457399.55814657,16222.2401564217,-8979.95343501657,15744.3719391055,0.131967858943301,1.93267900717438,-3.68546171400114
2457399.55862444,16227.3038917729,-8899.94460467937,15591.8343409765,0.113271811814395,1.94298052145633,-3.70351607035543
2457399.55910231,16231.5895931367,-8819.50906801847,15438.5491965439,0.0942785875069395,1.95334888111366,-3.72167316756032
2457399.55958018,16235.0848525956,-8738.64405160495,15284.5122494578,0.0749814645670717,1.96378474076594,-3.73993369943303
2457399.56005805,16237.7769805693,-8657.34675501758,15129.7192151296,0.0553735194088018,1.97428875317607,-3.75829833969588
2457399.56053592,16239.6529973164,-8575.6143509363,14974.1657816059,0.0354476188557854,1.98486156842437,-3.7767677397947
2457399.56101379,16240.6996241206,-8493.44398527122,14817.8476105366,0.0151964123614846,1.99550383301129,-3.79534252655526
2457399.56149166,16240.9032741504,-8410.83277733029,14660.7603382424,-0.00538767610784184,2.00621618888331,-3.814023299666
2457399.56196953,16240.250042975,-8327.77782002885,14502.8995768906,-0.0263124565436923,2.01699927237583,-3.83281062897393
2457399.5624474,16238.7256987237,-8244.27618014463,14344.260915786,-0.0475859817366391,2.02785371306662,-3.85170505158017
2457399.56292527,16236.3156718719,-8160.32489862209,14184.8399227873,-0.0692165565065285,2.03878013253285,-3.87070706872015
2457399.56340314,16233.0050446379,-8075.92099093017,14024.6321458555,-0.091212747340625,2.04977914300389,-3.88981714241242
2457399.56388101,16228.7785399729,-7991.06144747799,13863.6331147471,-0.113583392459754,2.06085134590184,-3.90903569185872
2457399.56435888,16223.6205101261,-7905.74323409327,13701.8383428603,-0.13633761233354,2.07199733026079,-3.92836308957679
2457399.56483675,16217.5149247661,-7819.96329256863,13539.2433292479,-0.159484820666931,2.08321767101513,-3.94779965724551
2457399.56531462,16210.4453586386,-7733.71854128152,13375.8435608066,-0.183034735881354,2.09451292714655,-3.96734566124088
2457399.56579249,16202.3949787391,-7647.00587589373,13211.6345146589,-0.206997393115036,2.10588363967829,-3.98700130783903
2457399.56627036,16193.3465309798,-7559.82217013708,13046.6116607389,-0.231383156768318,2.11733032950453,-4.00676673806108
2457399.56674823,16183.2823263256,-7472.16427669234,12880.7704646005,-0.256202733621089,2.1288534950415,-4.02664202213214
2457399.5672261,16172.1842263773,-7384.02902816913,12714.1063904609,-0.281467186550849,2.14045360968596,-4.04662715352492
2457399.56770397,16160.0336283749,-7295.41323819486,12546.614904501,-0.307187948881387,2.15213111906548,-4.06672204255565
2457399.56818184,16146.8114495952,-7206.31370262195,12378.2914784386,-0.333376839393527,2.16388643806338,-4.0869265094975
2457399.56865971,16132.498111115,-7116.72720086275,12209.1315933975,-0.360046078031013,2.17571994760013,-4.1072402771738
2457399.56913758,16117.0735209116,-7026.65049736272,12039.1307440934,-0.387208302336199,2.18763199115111,-4.12766296299029
2457399.56961545,16100.5170562682,-6936.08034322324,11868.284443361,-0.41487658465194,2.19962287097899,-4.14819407036199
2457399.57009332,16082.8075454532,-6845.01347798624,11696.588227049,-0.443064450127824,2.21169284405724,-4.16883297948675
