transfer_id,lambert_transfer_id,atom_departure_delta_v_x,atom_departure_delta_v_y,atom_departure_delta_v_z,atom_arrival_delta_v_x,atom_arrival_delta_v_y,atom_arrival_delta_v_z,atom_transfer_delta_v
18416,143457,-0.919870780462686,0.77450712329503,0.272806141704191,-1.23211907543817,0.154229522700667,0.0235962568114433,2.47502247111808
18022,142763,-0.935100400769602,0.797471424347871,0.110082490384732,-1.19323463944015,0.122217764223527,0.342754505883259,2.48138103021326
18080,142862,-0.872502182430146,0.763301678132887,0.0260124903649395,-1.25175494245739,0.155054972567958,0.399001117033389,2.48248073596857
18363,143358,-0.831714567525742,0.734471505875698,0.339613551121155,-1.30884956613138,0.188991416633093,-0.019739117859181,2.4829740935666
18468,143557,-0.623127070409224,0.649016615811135,0.232156814560311,-1.52733318706986,0.280933928368282,0.0619077750597145,2.48338569475327
18467,143556,-0.966910720079077,0.799244003010861,0.233702066269564,-1.19976213133799,0.135684961610392,0.040088255345782,2.48413357903811
18517,143656,-0.745054848708308,0.703177947078655,0.206217721867786,-1.42003340391401,0.233866733755811,0.0661707939663504,2.48571477010707
18362,143357,-1.20949511631685,0.912680078957157,0.311094126265061,-0.942233148054855,0.0140662145751786,-0.0161819945274482,2.48929409443604
17965,142663,-0.648764869538796,0.676813931189687,0.0503900087532054,-1.47745626167784,0.244398121312867,0.404392518242997,2.49006275417027
18415,143456,-1.18425332752969,0.902020777548755,0.259333216056039,-0.982158577318741,0.0299450049072973,0.0129332117276408,2.4937762317006
17966,142664,-0.966608611429327,0.821148872870413,0.161406223681873,-1.16898528391496,0.101060051384501,0.320212749698504,2.49479688090851
18081,142863,-1.21408250925294,0.930317938112118,0.171621475039455,-0.913981217478878,-0.0131933082636513,0.282430630609036,2.49585126673723
17911,142564,-0.752355545892276,0.728732570439672,0.113266348675047,-1.38116945191433,0.196029623328245,0.369469964411087,2.4966364663427
18566,143756,-0.519576114604102,0.614337931915472,0.177833990281031,-1.64197572006986,0.324217570203068,0.0902346670252377,2.50012140870657
18565,143755,-0.820948992003276,0.741461048405551,0.18613388466371,-1.36205208126769,0.203715846061707,0.0652732309258195,2.50051803732668
