transfer_id_x,departure_object_id_x,arrival_object_id_x,departure_epoch_x,time_of_flight_x,revolutions_x,transfer_delta_v_x,atom_transfer_delta_v_x,atom_dv_ranking,combo,transfer_id_y,departure_object_id_y,arrival_object_id_y,departure_epoch_y,time_of_flight_y,revolutions_y,transfer_delta_v_y,atom_transfer_delta_v_y,lambert_dv_ranking
22707540,16483,15402,2457399.5,25600.0,0,1.61750255065,1.62218640088,129.0,16483-15402,22707540,16483,15402,2457399.5,25600.0,0,1.61750255065,1.62218640088,127.0
15545000,14135,15832,2457399.55671,29600.0,0,1.62322824512,1.62388285848,130.0,14135-15832,15545000,14135,15832,2457399.55671,29600.0,0,1.62322824512,1.62388285848,131.0
16698538,14900,11792,2457399.52315,24800.0,0,1.62386249267,1.62456563697,131.0,14900-11792,16698538,14900,11792,2457399.52315,24800.0,0,1.62386249267,1.62456563697,132.0
3937500,7373,16402,2457399.55671,29600.0,0,1.624222702,1.62462201715,132.0,7373-16402,3937500,7373,16402,2457399.55671,29600.0,0,1.624222702,1.62462201715,133.0
24645050,18953,13658,2457399.5,29600.0,0,1.61930111826,1.6261318928,133.0,18953-13658,24645050,18953,13658,2457399.5,29600.0,0,1.61930111826,1.6261318928,130.0
22822485,16528,7902,2457399.55671,23600.0,0,1.63518882033,1.63546892077,134.0,16528-7902,22822485,16528,7902,2457399.55671,23600.0,0,1.63518882033,1.63546892077,134.0
20732957,15874,15562,2457399.51042,12400.0,0,1.64325771547,1.64545991663,135.0,15874-15562,20732957,15874,15562,2457399.51042,12400.0,0,1.64325771547,1.64545991663,135.0
24647550,18953,13666,2457399.5,29600.0,0,1.65243380782,1.65210414876,136.0,18953-13666,24647550,18953,13666,2457399.5,29600.0,0,1.65243380782,1.65210414876,136.0
7430032,9330,1863,2457399.5,22400.0,0,1.65375616088,1.65290907761,137.0,9330-1863,7430032,9330,1863,2457399.5,22400.0,0,1.65375616088,1.65290907761,137.0
17580003,15246,2643,2457399.5,10800.0,0,1.66153010392,1.6628767998,138.0,15246-2643,17580003,15246,2643,2457399.5,10800.0,0,1.66153010392,1.6628767998,138.0
2280072,4903,8134,2457399.50116,18400.0,0,1.66904258045,1.66810916319,139.0,4903-8134,2280072,4903,8134,2457399.50116,18400.0,0,1.66904258045,1.66810916319,139.0
12467500,12159,10155,2457399.55671,29600.0,0,1.67234440059,1.6721551055,140.0,12159-10155,12467500,12159,10155,2457399.55671,29600.0,0,1.67234440059,1.6721551055,141.0
14223240,13658,11792,2457399.5162,25600.0,0,1.66992250541,1.67883496838,141.0,13658-11792,14223240,13658,11792,2457399.5162,25600.0,0,1.66992250541,1.67883496838,140.0
14739983,13882,13016,2457399.55671,22800.0,0,1.68811651298,1.68857156378,142.0,13882-13016,14739983,13882,13016,2457399.55671,22800.0,0,1.68811651298,1.68857156378,142.0
9270000,10167,11550,2457399.55671,29600.0,0,1.69247975641,1.69297663266,143.0,10167-11550,9270000,10167,11550,2457399.55671,29600.0,0,1.69247975641,1.69297663266,144.0
5467508,8134,4903,2457399.5,12800.0,0,1.6991321619,1.69537407432,144.0,8134-4903,5467508,8134,4903,2457399.5,12800.0,0,1.6991321619,1.69537407432,145.0
