transfer_id_x,departure_object_id_x,arrival_object_id_x,departure_epoch_x,time_of_flight_x,revolutions_x,transfer_delta_v_x,atom_transfer_delta_v_x,atom_dv_ranking,combo,transfer_id_y,departure_object_id_y,arrival_object_id_y,departure_epoch_y,time_of_flight_y,revolutions_y,transfer_delta_v_y,atom_transfer_delta_v_y,lambert_dv_ranking
16024734,20904,23258,2457400.00926,10900.0,1,0.94178405541,0.938789945096,806.0,20904-23258,16024734,20904,23258,2457400.00926,10900.0,1,0.94178405541,0.938789945096,814.0
11521387,20443,20876,2457399.8125,11800.0,2,0.955610652482,0.939323092693,807.0,20443-20876,11521387,20443,20876,2457399.8125,11800.0,2,0.955610652482,0.939323092693,836.0
8236190,14914,13566,2457399.7662,12700.0,2,0.925409279966,0.939812789889,808.0,14914-13566,8236190,14914,13566,2457399.7662,12700.0,2,0.925409279966,0.939812789889,785.0
22481300,26236,25261,2457399.78935,15700.0,2,0.94153386728,0.940936837827,809.0,26236-25261,22481300,26236,25261,2457399.78935,15700.0,2,0.94153386728,0.940936837827,812.0
18030145,22830,25733,2457399.52315,14200.0,2,0.940622520421,0.941797982201,810.0,22830-25733,18030145,22830,25733,2457399.52315,14200.0,2,0.940622520421,0.941797982201,810.0
9796092,17478,20884,2457399.74306,13300.0,2,0.936826344659,0.942423445278,811.0,17478-20884,9796693,17478,20884,2457399.88194,13600.0,2,0.936130958885,0.944870684913,801.0
18467193,23258,20894,2457399.99769,13600.0,1,0.939992630854,0.942594958711,812.0,23258-20894,18467193,23258,20894,2457399.99769,13600.0,1,0.939992630854,0.942594958711,808.0
7387393,13574,25732,2457400.04398,13600.0,1,0.961249509014,0.943040858195,813.0,13574-25732,7387393,13574,25732,2457400.04398,13600.0,1,0.961249509014,0.943040858195,848.0
5259440,12217,13562,2457399.93981,12700.0,2,0.964790591106,0.943130302279,814.0,12217-13562,5259440,12217,13562,2457399.93981,12700.0,2,0.964790591106,0.943130302279,854.0
18724897,23259,20904,2457400.04398,14800.0,2,0.936488709082,0.943516354189,815.0,23259-20904,18724897,23259,20904,2457400.04398,14800.0,2,0.936488709082,0.943516354189,804.0
12724136,20850,17768,2457399.87037,11500.0,1,0.924527207905,0.944177357508,816.0,20850-17768,12724136,20850,17768,2457399.87037,11500.0,1,0.924527207905,0.944177357508,783.0
6242286,13562,12217,2457400.02083,11500.0,1,0.925822953583,0.944269324878,817.0,13562-12217,6242286,13562,12217,2457400.02083,11500.0,1,0.925822953583,0.944269324878,786.0
12047256,20793,20969,2457400.02083,2500.0,0,0.941327659367,0.944384321865,818.0,20793-20969,12047296,20793,20969,2457400.02083,14500.0,2,0.939053867374,0.970857115022,807.0
4782650,12204,14914,2457399.52315,15700.0,3,0.911447228715,0.944830588767,819.0,12204-14914,4782650,12204,14914,2457399.52315,15700.0,3,0.911447228715,0.944830588767,758.0
23007795,26306,26756,2457399.55787,14200.0,2,0.964306290581,0.945072271777,820.0,26306-26756,23007795,26306,26756,2457399.55787,14200.0,2,0.964306290581,0.945072271777,853.0
22513948,26236,26756,2457399.82407,15100.0,2,0.935349465545,0.945477137559,821.0,26236-26756,22513948,26236,26756,2457399.82407,15100.0,2,0.935349465545,0.945477137559,799.0
18700150,23259,20876,2457399.52315,15700.0,3,0.92939639515,0.945880582098,822.0,23259-20876,18700150,23259,20876,2457399.52315,15700.0,3,0.92939639515,0.945880582098,792.0
12262949,20797,20876,2457399.59259,15400.0,2,0.920935232995,0.947752469286,823.0,20797-20876,12262949,20797,20876,2457399.59259,15400.0,2,0.920935232995,0.947752469286,776.0
13007343,20852,20876,2457400.03241,13600.0,1,0.94774348953,0.947776699571,824.0,20852-20876,13007343,20852,20876,2457400.03241,13600.0,1,0.94774348953,0.947776699571,820.0
14982450,20894,20852,2457400.05556,15700.0,2,0.95874807109,0.947845822987,825.0,20894-20852,14982450,20894,20852,2457400.05556,15700.0,2,0.95874807109,0.947845822987,844.0
4772795,12204,13574,2457399.55787,14200.0,1,0.949883052297,0.949229764421,826.0,12204-13574,4772795,12204,13574,2457399.55787,14200.0,1,0.949883052297,0.949229764421,829.0
10947693,20029,12283,2457399.53472,13600.0,1,0.949826206291,0.949790779607,827.0,20029-12283,10947693,20029,12283,2457399.53472,13600.0,1,0.949826206291,0.949790779607,828.0
4801637,12204,17768,2457399.87037,11800.0,2,0.966907695857,0.949838832142,828.0,12204-17768,4801637,12204,17768,2457399.87037,11800.0,2,0.966907695857,0.949838832142,857.0
10026900,17768,20850,2457399.92824,15700.0,2,0.978990295777,0.950667553518,829.0,17768-20850,10026756,17768,20850,2457399.90509,2500.0,0,0.95935803327,0.954373783814,845.0
6507648,13563,13579,2457399.52315,15100.0,2,0.944669322652,0.950701557151,830.0,13563-13579,6508248,13563,13579,2457399.66204,15100.0,2,0.941746579454,0.95909040914,813.0
23504745,26338,26756,2457400.00926,14200.0,1,0.956070552835,0.950852039193,831.0,26338-26756,23504745,26338,26756,2457400.00926,14200.0,1,0.956070552835,0.950852039193,837.0
15025298,20894,21911,2457399.55787,15100.0,2,0.955455716148,0.95122340568,832.0,20894-21911,15025298,20894,21911,2457399.55787,15100.0,2,0.955455716148,0.95122340568,834.0
20521793,25261,26280,2457399.90509,13600.0,1,0.949998106044,0.951975671627,833.0,25261-26280,20521793,25261,26280,2457399.90509,13600.0,1,0.949998106044,0.951975671627,830.0
9948388,17768,12204,2457399.69676,12100.0,1,0.940636618379,0.952000801447,834.0,17768-12204,9948388,17768,12204,2457399.69676,12100.0,1,0.940636618379,0.952000801447,811.0
5724894,12283,12164,2457400.04398,13900.0,2,0.948422831719,0.95234802885,835.0,12283-12164,5724894,12283,12164,2457400.04398,13900.0,2,0.948422831719,0.95234802885,823.0
