transfer_id_x,departure_object_id_x,arrival_object_id_x,departure_epoch_x,time_of_flight_x,revolutions_x,transfer_delta_v_x,atom_transfer_delta_v_x,atom_dv_ranking,combo,transfer_id_y,departure_object_id_y,arrival_object_id_y,departure_epoch_y,time_of_flight_y,revolutions_y,transfer_delta_v_y,atom_transfer_delta_v_y,lambert_dv_ranking
143457,16615,21610,2457399.51181,4920,0,2.4584012717,2.4750222987,1,16615-21610,143459,16615,21610,2457399.51181,5060,0,4.7305272045,4.7708221601,1
100682,21610,16615,2457399.50208,6670,0,2.5277360658,2.5178715687,2,21610-16615,109388,21610,16615,2457399.53229,7090,1,4.9507254352,4.9338849777,3
59377,20443,21610,2457399.53229,6320,1,2.8342092901,2.8243065869,3,20443-21610,58478,20443,21610,2457399.52917,6390,1,4.9839448183,4.9759811143,5
90430,21610,20443,2457399.50139,3030,0,2.826605292,2.8290769369,4,21610-20443,91171,21610,20443,2457399.50382,5900,0,4.9917487101,5.0036953298,6
41054,20443,22830,2457399.50347,4710,0,3.4107162972,3.4282603982,5,20443-22830,41853,20443,22830,2457399.50625,4640,0,4.8847702909,4.9019751946,2
7386,22830,20443,2457399.52535,6950,0,3.5163219907,3.506483921,6,22830-20443,6391,22830,20443,2457399.52188,7300,1,4.9629564492,4.9467546315,4
